#This file was generated on Sun Jul 20 17:34:36 2025
#Using the somd command, of the molecular library Sire version <2025.2.0.dev> 
#For more information visit: https://github.com/openbiosim/sire
#
#General information on simulation parameters:
#Simulation used 250000 moves, 1 cycles and 1000 ps of simulation time
#Generating lambda is		 1.00000
#Alchemical array is		 (0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0)
#Generating temperature is 	25°C
#Energy was saved every 200 steps 
#
#
#   [step]               [potential]                [gradient]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
    2200           -4.81417619e+05            9.02483367e+00            9.91015768e-01            1.00906568e+00     3.255939767302080e+04     3.255939373243696e+04     3.255940236727261e+04     3.255940249556730e+04     3.255941921209366e+04     3.255945850685427e+04     3.255954900335453e+04     3.255972485002932e+04     3.256003642273521e+04     3.256054728010472e+04     3.256134435569185e+04
    2400           -4.81017002e+05            1.48384389e+01            9.85271108e-01            1.01494908e+00     3.246787742451999e+04     3.246787335250708e+04     3.246788249982467e+04     3.246788503046457e+04     3.246791080617284e+04     3.246797448038731e+04     3.246811889100737e+04     3.246839941194595e+04     3.246889595606756e+04     3.246971146443948e+04     3.247098321227446e+04
    2600           -4.81297727e+05           -5.67880482e-01            1.00056804e+00            9.99432281e-01     3.247189731610427e+04     3.247189326764103e+04     3.247190126619254e+04     3.247189742614766e+04     3.247189901442445e+04     3.247189782764341e+04     3.247189855212983e+04     3.247190006666295e+04     3.247190347577556e+04     3.247190706700740e+04     3.247191368535701e+04
    2800           -4.81265728e+05           -6.87626497e-01            1.00068786e+00            9.99312610e-01     3.244802546336623e+04     3.244802133002566e+04     3.244802960696381e+04     3.244802555903585e+04     3.244802700907571e+04     3.244802550856693e+04     3.244802553322755e+04     3.244802570443077e+04     3.244802676456939e+04     3.244802642640282e+04     3.244802690978859e+04
    3000           -4.81096330e+05            8.74962407e-01            9.99125420e-01            1.00087535e+00     3.235865938275877e+04     3.235865533751612e+04     3.235866363789026e+04     3.235866017773211e+04     3.235866400894872e+04     3.235866869379419e+04     3.235868250661916e+04     3.235870945833126e+04     3.235875777578513e+04     3.235883541461177e+04     3.235895733589236e+04
    3200           -4.80976377e+05            4.16587152e+00            9.95842794e-01            1.00417456e+00     3.238409042834517e+04     3.238408641250146e+04     3.238409467954490e+04     3.238409281609999e+04     3.238410167898262e+04     3.238412025341198e+04     3.238416460125845e+04     3.238425083240154e+04     3.238440391053029e+04     3.238465409234818e+04     3.238504483048316e+04
    3400           -4.80894793e+05            2.86029815e+00            9.97143789e-01            1.00286439e+00     3.236757110097434e+04     3.236756720170798e+04     3.236757541275649e+04     3.236757290192589e+04     3.236757982236368e+04     3.236759306486916e+04     3.236762571354221e+04     3.236768922624232e+04     3.236780223513600e+04     3.236798618751219e+04     3.236827394560859e+04
    3600           -4.81357571e+05            3.23657232e+01            9.68152442e-01            1.03289519e+00     3.255157907937130e+04     3.255157507965865e+04     3.255158518413801e+04     3.255159526344666e+04     3.255164833537784e+04     3.255178586128393e+04     3.255209357804200e+04     3.255269119953666e+04     3.255374816680170e+04     3.255548647727154e+04     3.255819610057535e+04
    3800           -4.81165323e+05            6.89351975e+00            9.93130186e-01            1.00691733e+00     3.236710626839765e+04     3.236710228316119e+04     3.236711075401968e+04     3.236711005067237e+04     3.236712336468476e+04     3.236715386991773e+04     3.236722467570232e+04     3.236736227868269e+04     3.236760625369057e+04     3.236800582094139e+04     3.236862951704020e+04
    4000           -4.80751244e+05            8.92754850e+00            9.91112184e-01            1.00896752e+00     3.250085140829836e+04     3.250084733400718e+04     3.250085610043510e+04     3.250085615744854e+04     3.250087261471353e+04     3.250091142716370e+04     3.250100071620170e+04     3.250117420292462e+04     3.250148157348492e+04     3.250198560331943e+04     3.250277201198950e+04
    4200           -4.81374849e+05            7.17926586e+00            9.92846444e-01            1.00720510e+00     3.233088151027069e+04     3.233087748318143e+04     3.233088607836445e+04     3.233088545039025e+04     3.233089922227586e+04     3.233093088570046e+04     3.233100433551651e+04     3.233114706204278e+04     3.233140010549846e+04     3.233181457641412e+04     3.233246152402349e+04
    4400           -4.81021587e+05           -1.17469796e-01            1.00011748e+00            9.99882537e-01     3.254026573908996e+04     3.254026175153010e+04     3.254026992568627e+04     3.254026607202310e+04     3.254026839896175e+04     3.254026898748065e+04     3.254027378002164e+04     3.254028320849549e+04     3.254030061998708e+04     3.254032722034500e+04     3.254036968759195e+04
    4600           -4.80970723e+05            1.16611729e+01            9.88406555e-01            1.01172943e+00     3.238893635860650e+04     3.238893239251506e+04     3.238894121775970e+04     3.238894245076206e+04     3.238896334686810e+04     3.238901377186150e+04     3.238912894685947e+04     3.238935270469430e+04     3.238974894093613e+04     3.239039923959408e+04     3.239141358276629e+04
    4800           -4.80790993e+05            2.35652550e-02            9.99976435e-01            1.00002357e+00     3.226663345849410e+04     3.226662944741557e+04     3.226663746839972e+04     3.226663384870939e+04     3.226663630531742e+04     3.226663736225612e+04     3.226664313617885e+04     3.226665445188914e+04     3.226667516654663e+04     3.226670732527609e+04     3.226675837887878e+04
    5000           -4.80975604e+05            5.37155267e+00            9.94642848e-01            1.00538601e+00     3.249104067287222e+04     3.249103653640197e+04     3.249104499263950e+04     3.249104367707656e+04     3.249105444064522e+04     3.249107798116562e+04     3.249113347037438e+04     3.249124132330039e+04     3.249143268460947e+04     3.249174573081408e+04     3.249223453826097e+04
    5200           -4.81110667e+05            7.05377621e+00            9.92971043e-01            1.00707871e+00     3.238846416915483e+04     3.238846003250750e+04     3.238846863604737e+04     3.238846801096362e+04     3.238848156076338e+04     3.238851245531092e+04     3.238858427722763e+04     3.238872386126096e+04     3.238897129511428e+04     3.238937666730229e+04     3.239000932614974e+04
